match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,125.0,-3,0,0,blueberry_full_control
1,2,raspberry,180.0,1,0,0,time
1,3,blueberry,135.0,-3,0,0,blueberry_full_control
2,1,blueberry,164.0,-3,0,0,blueberry_full_control
2,2,blueberry,180.0,-2,0,0,time
3,1,blueberry,148.5,-3,0,0,blueberry_full_control
3,2,blueberry,144.0,-3,0,0,blueberry_full_control
4,1,blueberry,180.0,-3,0,0,time
4,2,raspberry,180.0,2,0,0,time
4,3,blueberry,118.0,-3,0,0,blueberry_full_control
5,1,blueberry,151.0,-3,0,0,blueberry_full_control
5,2,raspberry,180.0,1,0,0,time
5,3,raspberry,180.0,1,0,0,time
6,1,blueberry,134.5,-3,0,0,blueberry_full_control
6,2,blueberry,154.0,-3,0,0,blueberry_full_control
7,1,blueberry,180.0,-3,0,0,time
7,2,blueberry,180.0,-3,0,0,time
8,1,blueberry,127.5,-3,0,0,blueberry_full_control
8,2,raspberry,180.0,2,0,0,time
8,3,raspberry,180.0,3,0,0,time
9,1,blueberry,133.5,-3,0,0,blueberry_full_control
9,2,raspberry,180.0,3,0,0,time
9,3,blueberry,141.5,-3,0,0,blueberry_full_control
10,1,blueberry,144.0,-3,0,0,blueberry_full_control
10,2,raspberry,180.0,3,0,0,time
10,3,blueberry,145.5,-3,0,0,blueberry_full_control
11,1,raspberry,180.0,3,0,0,time
11,2,blueberry,144.0,-3,0,0,blueberry_full_control
11,3,blueberry,147.5,-3,0,0,blueberry_full_control
12,1,blueberry,180.0,-3,0,0,time
12,2,blueberry,62.5,-1,0,0,raspberry_full_control
13,1,blueberry,158.5,-3,0,0,blueberry_full_control
13,2,blueberry,100.5,-3,0,0,blueberry_full_control
14,1,blueberry,176.0,-3,0,0,blueberry_full_control
14,2,blueberry,175.5,-3,0,0,blueberry_full_control
15,1,blueberry,180.0,-3,0,0,time
15,2,blueberry,116.0,-3,0,0,blueberry_full_control
16,1,blueberry,162.5,-3,0,0,blueberry_full_control
16,2,blueberry,157.5,-3,0,0,blueberry_full_control
17,1,raspberry,180.0,3,0,0,time
17,2,blueberry,125.0,-3,0,0,blueberry_full_control
17,3,raspberry,180.0,2,0,0,time
18,1,blueberry,115.5,-3,0,0,blueberry_full_control
18,2,blueberry,124.0,-3,0,0,blueberry_full_control
19,1,blueberry,180.0,-3,0,0,time
19,2,raspberry,180.0,3,0,0,time
19,3,blueberry,180.0,-1,0,0,time
20,1,raspberry,180.0,3,0,0,time
20,2,blueberry,163.5,-3,0,0,blueberry_full_control
20,3,blueberry,180.0,-3,0,0,time
21,1,raspberry,165.5,3,0,0,raspberry_full_control
21,2,raspberry,180.0,1,0,0,time
22,1,blueberry,180.0,-1,0,0,time
22,2,blueberry,175.5,-3,0,0,blueberry_full_control
23,1,blueberry,124.5,-3,0,0,blueberry_full_control
23,2,blueberry,180.0,-1,0,0,time
24,1,blueberry,180.0,-1,0,0,time
24,2,blueberry,180.0,-3,0,0,time
25,1,blueberry,180.0,-3,0,0,time
25,2,raspberry,180.0,2,0,0,time
25,3,blueberry,127.0,-3,0,0,blueberry_full_control
26,1,raspberry,73.5,1,0,0,raspberry_full_control
26,2,blueberry,128.0,-3,0,0,blueberry_full_control
26,3,raspberry,180.0,3,0,0,time
27,1,raspberry,85.5,1,0,0,raspberry_full_control
27,2,blueberry,125.0,-3,0,0,blueberry_full_control
27,3,blueberry,62.5,-2,0,0,raspberry_full_control
28,1,blueberry,140.5,-3,0,0,blueberry_full_control
28,2,blueberry,148.0,-3,0,0,blueberry_full_control
29,1,blueberry,180.0,-1,0,0,time
29,2,blueberry,138.5,-3,0,0,blueberry_full_control
30,1,raspberry,73.0,3,0,0,raspberry_full_control
30,2,blueberry,115.0,-3,0,0,blueberry_full_control
30,3,blueberry,137.5,-3,0,0,blueberry_full_control
31,1,blueberry,156.5,-3,0,0,blueberry_full_control
31,2,blueberry,144.5,-3,0,0,blueberry_full_control
32,1,blueberry,136.5,-3,0,0,blueberry_full_control
32,2,blueberry,180.0,-2,0,0,time
33,1,blueberry,180.0,-3,0,0,time
33,2,blueberry,123.0,-3,0,0,blueberry_full_control
34,1,raspberry,180.0,3,0,0,time
34,2,blueberry,62.5,-1,0,0,raspberry_full_control
34,3,raspberry,176.5,3,0,0,raspberry_full_control
35,1,blueberry,129.5,-3,0,0,blueberry_full_control
35,2,raspberry,180.0,2,0,0,time
35,3,blueberry,126.0,-3,0,0,blueberry_full_control
36,1,blueberry,180.0,-3,0,0,time
36,2,raspberry,180.0,3,0,0,time
36,3,blueberry,124.0,-3,0,0,blueberry_full_control
37,1,raspberry,174.0,3,0,0,raspberry_full_control
37,2,blueberry,180.0,-3,0,0,time
37,3,blueberry,157.5,-3,0,0,blueberry_full_control
38,1,raspberry,180.0,3,0,0,time
38,2,blueberry,166.5,-3,0,0,blueberry_full_control
38,3,blueberry,106.0,-3,0,0,blueberry_full_control
39,1,blueberry,176.5,-3,0,0,blueberry_full_control
39,2,blueberry,134.5,-3,0,0,blueberry_full_control
40,1,blueberry,180.0,-2,0,0,time
40,2,blueberry,135.5,-3,0,0,blueberry_full_control
41,1,blueberry,136.0,-3,0,0,blueberry_full_control
41,2,blueberry,141.5,-3,0,0,blueberry_full_control
42,1,blueberry,158.0,-3,0,0,blueberry_full_control
42,2,raspberry,180.0,3,0,0,time
42,3,blueberry,180.0,-2,0,0,time
43,1,raspberry,180.0,3,0,0,time
43,2,blueberry,144.0,-3,0,0,blueberry_full_control
43,3,blueberry,152.5,-3,0,0,blueberry_full_control
44,1,raspberry,180.0,3,0,0,time
44,2,blueberry,180.0,-3,0,0,time
44,3,blueberry,172.5,-3,0,0,blueberry_full_control
45,1,raspberry,180.0,3,0,0,time
45,2,raspberry,180.0,3,0,0,time
46,1,raspberry,180.0,2,0,0,time
46,2,blueberry,148.0,-3,0,0,blueberry_full_control
46,3,raspberry,180.0,3,0,0,time
47,1,blueberry,180.0,-1,0,0,time
47,2,raspberry,180.0,2,0,0,time
47,3,blueberry,146.5,-3,0,0,blueberry_full_control
48,1,blueberry,171.0,-3,0,0,blueberry_full_control
48,2,blueberry,180.0,-3,0,0,time
49,1,raspberry,180.0,2,0,0,time
49,2,raspberry,180.0,2,0,0,time
50,1,raspberry,142.0,2,0,0,raspberry_full_control
50,2,raspberry,180.0,3,0,0,time
51,1,blueberry,133.5,-3,0,0,blueberry_full_control
51,2,blueberry,115.5,-3,0,0,blueberry_full_control
52,1,blueberry,137.5,-3,0,0,blueberry_full_control
52,2,blueberry,145.5,-3,0,0,blueberry_full_control
53,1,raspberry,180.0,1,0,0,time
53,2,blueberry,180.0,-3,0,0,time
53,3,raspberry,180.0,3,0,0,time
54,1,blueberry,115.0,-3,0,0,blueberry_full_control
54,2,blueberry,180.0,-3,0,0,time
55,1,blueberry,144.0,-3,0,0,blueberry_full_control
55,2,blueberry,125.0,-3,0,0,blueberry_full_control
56,1,blueberry,121.0,-3,0,0,blueberry_full_control
56,2,blueberry,130.5,-3,0,0,blueberry_full_control
57,1,blueberry,154.5,-3,0,0,blueberry_full_control
57,2,blueberry,180.0,-3,0,0,time
58,1,blueberry,180.0,-2,0,0,time
58,2,blueberry,138.0,-3,0,0,blueberry_full_control
59,1,blueberry,139.5,-3,0,0,blueberry_full_control
59,2,raspberry,180.0,3,0,0,time
59,3,blueberry,180.0,-2,0,0,time
60,1,blueberry,180.0,0,0,0,time
60,2,blueberry,133.0,-3,0,0,blueberry_full_control
61,1,blueberry,170.5,-3,0,0,blueberry_full_control
61,2,raspberry,180.0,3,0,0,time
61,3,blueberry,138.5,-3,0,0,blueberry_full_control
62,1,blueberry,180.0,-3,0,0,time
62,2,raspberry,180.0,1,0,0,time
62,3,blueberry,180.0,-3,0,0,time
63,1,blueberry,156.5,-3,0,0,blueberry_full_control
63,2,blueberry,180.0,-3,0,0,time
64,1,raspberry,180.0,0,0,0,time
64,2,raspberry,83.0,1,0,0,raspberry_full_control
65,1,raspberry,180.0,0,0,0,time
65,2,raspberry,173.5,3,0,0,raspberry_full_control
66,1,blueberry,180.0,-1,0,0,time
66,2,blueberry,153.0,-3,0,0,blueberry_full_control
67,1,blueberry,180.0,-3,0,0,time
67,2,blueberry,153.5,-3,0,0,blueberry_full_control
68,1,blueberry,146.0,-3,0,0,blueberry_full_control
68,2,blueberry,180.0,-3,0,0,time
69,1,raspberry,180.0,3,0,0,time
69,2,blueberry,180.0,-2,0,0,time
69,3,raspberry,180.0,1,0,0,time
70,1,blueberry,180.0,-2,0,0,time
70,2,raspberry,180.0,3,0,0,time
70,3,blueberry,143.0,-3,0,0,blueberry_full_control
71,1,blueberry,165.5,-3,0,0,blueberry_full_control
71,2,blueberry,162.0,-3,0,0,blueberry_full_control
72,1,raspberry,180.0,2,0,0,time
72,2,blueberry,134.0,-3,0,0,blueberry_full_control
72,3,blueberry,144.0,-3,0,0,blueberry_full_control
73,1,blueberry,180.0,-1,0,0,time
73,2,blueberry,136.0,-3,0,0,blueberry_full_control
74,1,blueberry,62.5,-1,0,0,raspberry_full_control
74,2,blueberry,143.0,-3,0,0,blueberry_full_control
75,1,blueberry,180.0,-3,0,0,time
75,2,blueberry,156.0,-3,0,0,blueberry_full_control
76,1,blueberry,140.5,-3,0,0,blueberry_full_control
76,2,blueberry,167.5,-3,0,0,blueberry_full_control
77,1,blueberry,135.0,-3,0,0,blueberry_full_control
77,2,raspberry,180.0,2,0,0,time
77,3,raspberry,180.0,3,0,0,time
78,1,blueberry,141.5,-3,0,0,blueberry_full_control
78,2,blueberry,180.0,-3,0,0,time
79,1,blueberry,179.5,-3,0,0,blueberry_full_control
79,2,blueberry,180.0,-2,0,0,time
80,1,blueberry,161.0,-3,0,0,blueberry_full_control
80,2,blueberry,105.0,-3,0,0,blueberry_full_control
