match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
2,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
3,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
4,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
5,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
6,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
7,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
8,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
9,raspberry,2,1,3,1,3,mixed_composition,upgrade_focus
10,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
11,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
12,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
13,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
14,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
15,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
16,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
17,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
18,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
19,raspberry,2,1,3,2,1,upgrade_focus,mixed_composition
20,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
21,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
22,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
23,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
24,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
25,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
26,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
27,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
28,blueberry,1,2,3,1,3,mixed_composition,upgrade_focus
29,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
30,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
31,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
32,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
