match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,blueberry,0,2,2,1,1
2,blueberry,0,2,2,1,1
3,blueberry,0,2,2,1,1
4,raspberry,2,1,3,1,1
5,blueberry,0,2,2,1,2
6,blueberry,0,2,2,1,1
7,blueberry,0,2,2,1,1
8,blueberry,0,2,2,1,3
9,blueberry,0,2,2,1,1
10,blueberry,0,2,2,1,2
11,blueberry,0,2,2,1,1
12,blueberry,0,2,2,1,1
13,blueberry,0,2,2,1,1
14,raspberry,2,1,3,1,1
15,blueberry,0,2,2,1,1
16,blueberry,0,2,2,1,1
17,blueberry,0,2,2,1,1
18,blueberry,1,2,3,1,2
19,blueberry,0,2,2,1,1
20,blueberry,0,2,2,1,1
21,blueberry,1,2,3,1,1
22,blueberry,0,2,2,1,1
23,blueberry,0,2,2,1,1
24,blueberry,0,2,2,1,1
25,blueberry,0,2,2,1,1
26,blueberry,0,2,2,1,1
27,raspberry,2,0,2,1,1
28,raspberry,2,0,2,1,1
29,blueberry,0,2,2,1,1
30,raspberry,2,1,3,1,1
31,blueberry,1,2,3,1,1
32,blueberry,0,2,2,1,1
33,raspberry,2,0,2,1,1
34,blueberry,0,2,2,1,1
35,blueberry,0,2,2,1,1
36,blueberry,1,2,3,1,1
37,blueberry,0,2,2,1,2
38,raspberry,2,0,2,1,1
39,blueberry,0,2,2,1,1
40,blueberry,0,2,2,1,1
41,blueberry,0,2,2,1,1
42,raspberry,2,1,3,1,1
43,blueberry,1,2,3,1,1
44,blueberry,1,2,3,1,1
45,raspberry,2,1,3,1,1
46,blueberry,1,2,3,1,1
47,raspberry,2,0,2,1,1
48,blueberry,1,2,3,1,2
49,raspberry,2,1,3,1,1
50,blueberry,0,2,2,1,1
51,raspberry,2,1,3,1,1
52,raspberry,2,1,3,1,2
53,blueberry,0,2,2,1,1
54,blueberry,0,2,2,1,1
55,blueberry,0,2,2,1,3
56,blueberry,0,2,2,1,1
57,blueberry,0,2,2,1,1
58,raspberry,2,1,3,1,1
59,blueberry,0,2,2,1,1
60,blueberry,0,2,2,1,2
61,raspberry,2,0,2,1,1
62,blueberry,0,2,2,1,1
63,raspberry,2,0,2,1,1
64,raspberry,2,0,2,1,1
65,blueberry,0,2,2,1,1
66,blueberry,1,2,3,1,1
67,blueberry,0,2,2,1,1
68,blueberry,0,2,2,1,1
69,raspberry,2,0,2,1,1
70,blueberry,1,2,3,1,1
71,blueberry,1,2,3,1,1
72,blueberry,0,2,2,1,2
73,blueberry,0,2,2,1,1
74,blueberry,0,2,2,1,1
75,blueberry,0,2,2,1,1
76,raspberry,2,0,2,1,1
77,blueberry,0,2,2,1,1
78,raspberry,2,1,3,1,1
79,blueberry,0,2,2,1,1
80,raspberry,2,0,2,1,1
81,blueberry,0,2,2,1,2
82,blueberry,1,2,3,1,2
83,blueberry,1,2,3,1,1
84,blueberry,0,2,2,1,1
85,blueberry,1,2,3,1,3
86,blueberry,1,2,3,1,1
87,blueberry,0,2,2,1,1
88,blueberry,0,2,2,1,1
89,blueberry,1,2,3,1,1
90,blueberry,0,2,2,1,1
91,raspberry,2,1,3,1,1
92,blueberry,1,2,3,1,2
93,blueberry,1,2,3,1,2
94,blueberry,1,2,3,1,1
95,raspberry,2,1,3,1,1
96,raspberry,2,0,2,1,1
97,blueberry,0,2,2,1,1
98,blueberry,0,2,2,1,2
99,raspberry,2,0,2,1,2
100,blueberry,1,2,3,1,2
101,blueberry,1,2,3,1,1
102,blueberry,0,2,2,1,1
103,blueberry,1,2,3,1,2
104,blueberry,0,2,2,1,1
105,blueberry,0,2,2,1,2
106,blueberry,0,2,2,1,1
107,blueberry,1,2,3,1,1
108,raspberry,2,1,3,1,1
109,blueberry,0,2,2,1,1
110,blueberry,0,2,2,1,1
111,blueberry,0,2,2,1,1
112,blueberry,0,2,2,1,1
113,raspberry,2,1,3,1,1
114,blueberry,0,2,2,1,3
115,blueberry,0,2,2,1,2
116,blueberry,0,2,2,1,1
117,blueberry,0,2,2,1,1
118,blueberry,0,2,2,1,2
119,blueberry,1,2,3,1,1
120,raspberry,2,1,3,1,1
121,blueberry,1,2,3,1,1
122,blueberry,1,2,3,1,2
123,blueberry,0,2,2,1,1
124,blueberry,0,2,2,1,1
125,raspberry,2,0,2,1,1
126,blueberry,0,2,2,1,1
127,blueberry,0,2,2,1,1
128,blueberry,1,2,3,1,1
129,blueberry,0,2,2,1,1
130,blueberry,0,2,2,1,2
131,blueberry,1,2,3,1,1
132,raspberry,2,1,3,1,1
133,blueberry,0,2,2,1,1
134,blueberry,0,2,2,1,2
135,raspberry,2,0,2,1,2
136,blueberry,0,2,2,1,1
137,blueberry,0,2,2,1,2
138,blueberry,1,2,3,1,1
139,raspberry,2,1,3,1,1
140,blueberry,1,2,3,1,1
141,raspberry,2,0,2,1,1
142,blueberry,0,2,2,1,1
143,blueberry,0,2,2,1,2
144,blueberry,1,2,3,1,1
145,blueberry,0,2,2,1,1
146,blueberry,1,2,3,1,2
147,blueberry,0,2,2,1,2
148,raspberry,2,0,2,1,1
149,blueberry,0,2,2,1,1
150,raspberry,2,1,3,1,1
151,blueberry,0,2,2,1,2
152,raspberry,2,1,3,1,1
153,blueberry,0,2,2,1,3
154,blueberry,0,2,2,1,1
155,blueberry,1,2,3,1,1
156,raspberry,2,0,2,1,1
157,blueberry,0,2,2,1,1
158,blueberry,1,2,3,1,2
159,raspberry,2,1,3,1,1
160,blueberry,0,2,2,1,2
