match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
2,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
3,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
4,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
5,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
6,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
7,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
8,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
9,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
10,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
11,blueberry,0,2,2,2,2,upgrade_focus,upgrade_focus
12,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
13,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
14,raspberry,2,0,2,1,2,mixed_composition,upgrade_focus
15,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
16,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
17,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
18,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
19,raspberry,2,0,2,2,1,upgrade_focus,mixed_composition
20,raspberry,2,1,3,1,2,mixed_composition,upgrade_focus
21,raspberry,2,0,2,1,2,mixed_composition,upgrade_focus
22,raspberry,2,0,2,1,2,mixed_composition,upgrade_focus
23,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
24,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
25,blueberry,0,2,2,1,2,mixed_composition,upgrade_focus
26,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
27,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
28,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
29,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
30,raspberry,2,0,2,1,2,mixed_composition,upgrade_focus
31,blueberry,1,2,3,1,2,mixed_composition,upgrade_focus
