match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
2,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
3,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
4,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
5,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
6,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
7,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
8,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
9,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
10,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
11,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
12,blueberry,0,2,2,1,1,swarm_focus,mixed_composition
13,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
14,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
15,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
16,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
17,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
18,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
19,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
20,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
21,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
22,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
23,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
24,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
25,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
26,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
27,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
28,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
29,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
30,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
31,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
32,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
33,blueberry,0,2,2,1,3,mixed_composition,mixed_composition
34,blueberry,0,2,2,1,1,swarm_focus,mixed_composition
35,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
36,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
37,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
38,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
39,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
40,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
41,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
42,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
43,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
44,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
45,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
46,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
47,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
48,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
49,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
50,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
51,blueberry,0,2,2,1,1,swarm_focus,mixed_composition
52,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
53,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
54,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
55,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
56,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
57,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
58,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
59,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
60,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
61,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
62,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
63,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
64,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
65,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
66,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
67,raspberry,2,0,2,1,1,swarm_focus,mixed_composition
68,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
69,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
70,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
71,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
72,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
73,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
74,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
75,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
76,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
77,raspberry,2,0,2,1,1,mixed_composition,mixed_composition
78,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
79,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
80,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
81,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
82,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
83,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
84,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
85,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
86,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
87,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
88,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
89,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
90,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
91,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
92,raspberry,2,1,3,1,1,mixed_composition,mixed_composition
93,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
94,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
95,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
96,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
97,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
98,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
99,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
100,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
101,blueberry,0,2,2,1,3,mixed_composition,mixed_composition
102,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
103,blueberry,1,2,3,1,2,mixed_composition,mixed_composition
104,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
105,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
106,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
107,blueberry,1,2,3,1,1,mixed_composition,mixed_composition
108,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
109,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
110,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
111,blueberry,0,2,2,1,1,mixed_composition,mixed_composition
112,blueberry,0,2,2,1,2,mixed_composition,mixed_composition
