match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,blueberry,165.5,-3,1,0,blueberry_full_control
1,2,blueberry,179.5,-3,1,0,blueberry_full_control
2,1,raspberry,180.0,3,1,0,time
2,2,blueberry,180.0,-2,1,0,time
2,3,raspberry,180.0,1,2,0,time
3,1,raspberry,180.0,3,1,0,time
3,2,raspberry,180.0,1,1,0,time
4,1,raspberry,180.0,3,3,0,time
4,2,raspberry,180.0,3,3,0,time
5,1,raspberry,180.0,2,2,0,time
5,2,raspberry,141.5,3,2,0,raspberry_full_control
6,1,raspberry,180.0,3,1,0,time
6,2,raspberry,180.0,1,1,0,time
7,1,raspberry,180.0,3,1,0,time
7,2,raspberry,180.0,1,1,0,time
8,1,blueberry,180.0,-3,1,1,time
8,2,raspberry,180.0,3,2,1,time
8,3,blueberry,169.0,-3,2,1,blueberry_full_control
9,1,raspberry,180.0,3,1,0,time
9,2,raspberry,180.0,0,1,0,time
10,1,raspberry,180.0,3,1,1,time
10,2,raspberry,180.0,0,2,1,time
