match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,raspberry,2,0,2,2,1
2,raspberry,2,0,2,1,1
3,blueberry,0,2,2,1,1
4,raspberry,2,1,3,1,1
5,raspberry,2,0,2,1,1
6,blueberry,0,2,2,1,1
7,blueberry,0,2,2,1,1
8,raspberry,2,1,3,1,1
9,raspberry,2,1,3,1,1
10,raspberry,2,0,2,1,1
11,raspberry,2,1,3,1,1
12,blueberry,1,2,3,1,1
13,blueberry,0,2,2,1,2
14,blueberry,0,2,2,1,3
15,blueberry,1,2,3,1,2
16,blueberry,0,2,2,1,2
17,blueberry,0,2,2,2,1
18,blueberry,0,2,2,1,3
19,raspberry,2,0,2,1,3
20,raspberry,2,1,3,1,1
21,raspberry,2,0,2,1,2
22,raspberry,2,0,2,1,1
23,blueberry,1,2,3,1,1
24,raspberry,2,1,3,1,1
25,raspberry,2,0,2,1,1
26,raspberry,2,0,2,1,1
27,raspberry,2,1,3,1,1
28,blueberry,0,2,2,1,1
29,raspberry,2,0,2,1,1
30,raspberry,2,0,2,2,1
31,raspberry,2,1,3,1,1
32,raspberry,2,1,3,2,2
33,raspberry,2,1,3,2,1
34,blueberry,0,2,2,1,1
35,raspberry,2,1,3,1,1
36,raspberry,2,1,3,1,2
37,blueberry,1,2,3,1,2
38,blueberry,1,2,3,1,3
39,raspberry,2,0,2,1,1
40,blueberry,1,2,3,1,2
41,blueberry,1,2,3,1,2
42,raspberry,2,1,3,1,1
43,raspberry,2,0,2,1,1
44,blueberry,0,2,2,1,3
45,blueberry,0,2,2,1,2
46,blueberry,0,2,2,1,1
47,blueberry,0,2,2,1,1
48,blueberry,1,2,3,1,1
49,raspberry,2,0,2,1,1
50,blueberry,0,2,2,1,4
51,blueberry,0,2,2,1,1
52,blueberry,1,2,3,1,1
53,blueberry,1,2,3,1,1
54,blueberry,1,2,3,1,3
55,blueberry,0,2,2,1,1
56,raspberry,2,1,3,1,1
57,raspberry,2,0,2,1,1
58,blueberry,1,2,3,1,2
59,blueberry,0,2,2,1,1
60,blueberry,0,2,2,1,2
61,blueberry,0,2,2,1,1
62,blueberry,0,2,2,1,1
63,blueberry,0,2,2,1,2
64,blueberry,0,2,2,1,1
65,raspberry,2,0,2,1,1
66,blueberry,1,2,3,1,1
67,blueberry,0,2,2,1,1
68,blueberry,1,2,3,1,3
69,blueberry,1,2,3,1,2
70,blueberry,1,2,3,1,1
71,raspberry,2,0,2,1,1
72,raspberry,2,0,2,1,1
73,blueberry,0,2,2,1,1
74,raspberry,2,0,2,1,1
75,blueberry,0,2,2,1,1
76,blueberry,0,2,2,1,2
77,blueberry,0,2,2,1,1
78,blueberry,1,2,3,1,1
79,raspberry,2,1,3,1,3
80,raspberry,2,0,2,1,1
81,blueberry,0,2,2,1,1
82,blueberry,1,2,3,1,2
83,raspberry,2,0,2,1,1
84,raspberry,2,0,2,1,2
85,blueberry,0,2,2,1,1
86,blueberry,0,2,2,1,1
87,raspberry,2,1,3,1,1
88,blueberry,0,2,2,1,2
89,blueberry,1,2,3,1,1
90,blueberry,1,2,3,1,2
91,blueberry,0,2,2,1,1
92,blueberry,1,2,3,2,1
93,blueberry,0,2,2,1,2
94,blueberry,1,2,3,1,2
95,raspberry,2,0,2,1,1
96,blueberry,0,2,2,1,1
97,blueberry,1,2,3,1,3
98,blueberry,0,2,2,1,1
99,raspberry,2,0,2,1,1
100,blueberry,0,2,2,1,1
101,blueberry,0,2,2,1,2
102,blueberry,0,2,2,1,2
103,blueberry,0,2,2,1,1
104,blueberry,0,2,2,1,2
105,blueberry,0,2,2,1,2
106,raspberry,2,0,2,1,1
107,blueberry,1,2,3,1,2
108,blueberry,0,2,2,1,2
109,blueberry,0,2,2,1,1
110,raspberry,2,0,2,1,1
111,blueberry,1,2,3,1,1
112,blueberry,1,2,3,1,3
113,blueberry,0,2,2,1,2
114,blueberry,0,2,2,1,1
115,blueberry,0,2,2,1,1
116,blueberry,1,2,3,1,1
117,blueberry,1,2,3,1,2
118,blueberry,0,2,2,1,1
119,blueberry,0,2,2,1,1
120,blueberry,1,2,3,1,2
121,raspberry,2,1,3,1,2
122,blueberry,0,2,2,1,1
123,blueberry,0,2,2,1,1
124,blueberry,0,2,2,1,2
125,blueberry,1,2,3,1,2
126,blueberry,0,2,2,1,1
127,blueberry,1,2,3,1,3
128,blueberry,0,2,2,1,1
129,blueberry,0,2,2,1,2
130,raspberry,2,0,2,1,2
131,blueberry,0,2,2,1,1
132,raspberry,2,1,3,1,1
133,raspberry,2,0,2,1,1
134,raspberry,2,1,3,1,1
135,raspberry,2,1,3,1,1
136,blueberry,1,2,3,1,1
137,raspberry,2,1,3,1,1
138,blueberry,1,2,3,1,2
139,blueberry,1,2,3,1,1
140,raspberry,2,0,2,1,1
141,blueberry,1,2,3,1,2
142,blueberry,1,2,3,1,2
143,raspberry,2,0,2,1,2
144,blueberry,0,2,2,1,2
145,raspberry,2,0,2,1,1
146,raspberry,2,0,2,1,1
147,raspberry,2,0,2,1,2
148,blueberry,0,2,2,1,1
149,blueberry,1,2,3,1,2
150,blueberry,1,2,3,1,2
151,blueberry,0,2,2,1,1
152,blueberry,1,2,3,1,2
153,blueberry,1,2,3,1,1
154,blueberry,1,2,3,1,2
155,raspberry,2,0,2,1,1
156,raspberry,2,0,2,1,2
157,blueberry,1,2,3,1,1
158,blueberry,0,2,2,1,2
159,blueberry,1,2,3,1,2
160,raspberry,2,1,3,1,1
