match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
2,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
3,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
4,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
5,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
6,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
7,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
8,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
9,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
10,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
11,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
12,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
13,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
14,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
15,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
16,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
17,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
18,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
19,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
20,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
21,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
22,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
23,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
24,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
25,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
26,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
27,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
28,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
29,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
30,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
31,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
32,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
33,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
34,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
35,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
36,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
37,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
38,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
39,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
40,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
41,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
42,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
43,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
44,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
45,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
46,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
47,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
48,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
49,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
50,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
51,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
52,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
53,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
54,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
55,raspberry,2,0,2,0,0,swarm_focus,mixed_composition
56,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
57,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
58,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
59,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
60,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
61,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
62,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
63,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
64,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
65,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
66,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
67,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
68,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
69,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
70,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
71,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
72,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
73,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
74,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
75,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
76,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
77,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
78,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
79,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
80,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
