match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
1,blueberry,0,2,2,1,1
2,blueberry,0,2,2,1,1
3,blueberry,0,2,2,1,1
4,blueberry,1,2,3,1,1
5,raspberry,2,1,3,1,1
6,blueberry,1,2,3,1,2
7,blueberry,0,2,2,1,1
8,raspberry,2,1,3,1,1
9,blueberry,0,2,2,1,1
10,blueberry,0,2,2,1,2
11,blueberry,0,2,2,1,1
12,blueberry,0,2,2,1,2
13,blueberry,0,2,2,1,2
14,raspberry,2,1,3,1,1
15,blueberry,0,2,2,1,1
16,raspberry,2,0,2,1,1
17,blueberry,0,2,2,1,1
18,blueberry,0,2,2,1,1
19,blueberry,1,2,3,1,1
20,blueberry,1,2,3,1,1
21,blueberry,0,2,2,1,2
22,blueberry,0,2,2,1,3
23,blueberry,0,2,2,1,1
24,blueberry,0,2,2,1,1
25,blueberry,0,2,2,1,1
26,blueberry,0,2,2,1,2
27,blueberry,0,2,2,1,1
28,blueberry,0,2,2,1,2
29,blueberry,1,2,3,1,1
30,blueberry,0,2,2,1,1
31,blueberry,0,2,2,1,1
32,blueberry,0,2,2,1,2
33,blueberry,0,2,2,1,1
34,blueberry,0,2,2,1,1
35,blueberry,0,2,2,1,2
36,blueberry,0,2,2,1,1
37,blueberry,0,2,2,1,1
38,blueberry,0,2,2,1,1
39,blueberry,0,2,2,1,1
40,blueberry,1,2,3,1,2
41,blueberry,0,2,2,1,1
42,blueberry,0,2,2,1,1
43,blueberry,0,2,2,1,2
44,blueberry,1,2,3,1,1
45,blueberry,0,2,2,1,3
46,raspberry,2,1,3,1,1
47,blueberry,0,2,2,1,1
48,blueberry,1,2,3,1,2
49,blueberry,0,2,2,1,1
50,blueberry,1,2,3,1,2
51,raspberry,2,0,2,1,2
52,blueberry,1,2,3,1,1
53,raspberry,2,0,2,1,1
54,blueberry,0,2,2,2,1
55,blueberry,0,2,2,1,2
56,blueberry,1,2,3,1,1
57,blueberry,0,2,2,1,1
58,blueberry,0,2,2,1,1
59,blueberry,1,2,3,1,2
60,blueberry,0,2,2,1,2
61,blueberry,0,2,2,1,2
62,blueberry,0,2,2,1,1
63,raspberry,2,0,2,1,1
64,raspberry,2,0,2,1,1
65,blueberry,0,2,2,1,2
66,blueberry,1,2,3,1,2
67,blueberry,1,2,3,1,2
68,raspberry,2,0,2,1,1
69,blueberry,0,2,2,1,1
70,raspberry,2,0,2,1,1
71,raspberry,2,0,2,1,2
72,raspberry,2,0,2,1,1
73,raspberry,2,1,3,1,1
74,raspberry,2,0,2,1,1
75,raspberry,2,1,3,1,1
76,raspberry,2,0,2,1,1
77,raspberry,2,1,3,1,1
78,blueberry,0,2,2,1,1
79,raspberry,2,0,2,1,1
80,raspberry,2,0,2,1,1
81,raspberry,2,1,3,1,1
82,blueberry,1,2,3,1,2
83,raspberry,2,0,2,1,1
84,raspberry,2,0,2,2,1
85,blueberry,0,2,2,1,2
86,raspberry,2,0,2,1,1
87,raspberry,2,1,3,1,1
88,blueberry,1,2,3,1,2
89,blueberry,1,2,3,1,1
90,raspberry,2,0,2,1,2
91,blueberry,1,2,3,1,2
92,raspberry,2,1,3,1,1
93,blueberry,1,2,3,1,2
94,blueberry,0,2,2,1,3
95,raspberry,2,0,2,2,2
96,blueberry,1,2,3,1,3
97,blueberry,0,2,2,1,1
98,raspberry,2,0,2,1,1
99,raspberry,2,0,2,1,2
100,blueberry,1,2,3,1,2
101,raspberry,2,1,3,1,1
102,raspberry,2,0,2,1,1
103,raspberry,2,1,3,1,1
104,blueberry,1,2,3,1,3
105,raspberry,2,1,3,1,1
106,raspberry,2,0,2,1,1
107,raspberry,2,0,2,1,1
108,raspberry,2,0,2,1,1
109,raspberry,2,0,2,1,1
110,raspberry,2,0,2,1,1
111,raspberry,2,0,2,1,1
112,raspberry,2,0,2,1,1
113,raspberry,2,0,2,1,1
114,raspberry,2,1,3,1,1
115,raspberry,2,0,2,1,1
116,raspberry,2,0,2,1,2
117,blueberry,0,2,2,1,2
118,raspberry,2,0,2,1,1
119,blueberry,1,2,3,1,3
120,raspberry,2,1,3,1,1
