match_id,round_no,winner,duration,final_control,raspberry_upgrades,blueberry_upgrades,reason
1,1,raspberry,180.0,1,1,1,time
1,2,raspberry,180.0,0,1,2,time
2,1,blueberry,180.0,-3,1,1,time
2,2,raspberry,180.0,1,1,1,time
2,3,raspberry,172.0,3,1,1,raspberry_full_control
3,1,blueberry,180.0,-2,2,1,time
3,2,raspberry,176.0,3,2,2,raspberry_full_control
3,3,blueberry,180.0,-2,2,3,time
4,1,blueberry,180.0,-2,1,1,time
4,2,raspberry,165.5,3,1,2,raspberry_full_control
4,3,raspberry,180.0,3,1,2,time
5,1,blueberry,180.0,-3,1,1,time
5,2,blueberry,180.0,-2,2,3,time
6,1,blueberry,180.0,0,1,2,time
6,2,blueberry,133.5,-3,1,2,blueberry_full_control
7,1,blueberry,169.5,-3,1,1,blueberry_full_control
7,2,raspberry,174.5,3,1,1,raspberry_full_control
7,3,blueberry,146.5,-3,1,1,blueberry_full_control
8,1,raspberry,180.0,3,1,1,time
8,2,raspberry,180.0,1,1,2,time
9,1,blueberry,169.0,-3,1,1,blueberry_full_control
9,2,raspberry,179.0,3,1,2,raspberry_full_control
9,3,raspberry,180.0,1,2,3,time
10,1,raspberry,180.0,1,1,2,time
10,2,raspberry,180.0,0,1,2,time
11,1,blueberry,180.0,-2,1,1,time
11,2,blueberry,175.5,-3,1,3,blueberry_full_control
12,1,blueberry,180.0,-3,1,1,time
12,2,raspberry,180.0,2,2,1,time
12,3,raspberry,172.0,3,2,1,raspberry_full_control
13,1,raspberry,180.0,3,1,2,time
13,2,blueberry,137.0,-3,1,3,blueberry_full_control
13,3,blueberry,118.5,-3,1,3,blueberry_full_control
14,1,raspberry,180.0,2,2,1,time
14,2,raspberry,167.0,3,2,1,raspberry_full_control
15,1,raspberry,180.0,2,1,1,time
15,2,raspberry,153.0,3,1,1,raspberry_full_control
16,1,raspberry,176.5,3,1,1,raspberry_full_control
16,2,raspberry,180.0,2,1,2,time
17,1,raspberry,180.0,3,1,1,time
17,2,raspberry,174.5,3,1,1,raspberry_full_control
18,1,blueberry,143.0,-3,1,1,blueberry_full_control
18,2,blueberry,157.5,-3,2,1,blueberry_full_control
19,1,raspberry,180.0,3,2,1,time
19,2,raspberry,159.0,3,2,1,raspberry_full_control
20,1,raspberry,180.0,1,1,2,time
20,2,raspberry,180.0,0,1,3,time
21,1,raspberry,180.0,2,1,1,time
21,2,raspberry,180.0,3,1,1,time
22,1,raspberry,180.0,2,2,1,time
22,2,raspberry,171.0,3,2,1,raspberry_full_control
23,1,blueberry,157.0,-3,1,2,blueberry_full_control
23,2,blueberry,131.0,-3,1,2,blueberry_full_control
24,1,blueberry,155.0,-3,1,1,blueberry_full_control
24,2,blueberry,180.0,-3,2,2,time
25,1,raspberry,177.5,3,1,1,raspberry_full_control
25,2,raspberry,180.0,3,2,1,time
26,1,raspberry,180.0,3,1,2,time
26,2,blueberry,180.0,-3,1,2,time
26,3,blueberry,180.0,-3,1,3,time
27,1,raspberry,176.0,3,1,1,raspberry_full_control
27,2,blueberry,154.5,-3,1,1,blueberry_full_control
27,3,blueberry,140.5,-3,1,1,blueberry_full_control
28,1,blueberry,153.5,-3,1,2,blueberry_full_control
28,2,raspberry,173.0,3,1,3,raspberry_full_control
28,3,raspberry,180.0,2,1,3,time
29,1,raspberry,180.0,2,2,1,time
29,2,raspberry,168.5,3,2,1,raspberry_full_control
30,1,raspberry,180.0,3,1,1,time
30,2,raspberry,154.5,3,1,1,raspberry_full_control
31,1,blueberry,180.0,-1,1,2,time
31,2,blueberry,180.0,-1,2,2,time
32,1,raspberry,180.0,3,2,1,time
32,2,raspberry,167.5,3,2,1,raspberry_full_control
33,1,raspberry,180.0,2,1,2,time
33,2,blueberry,174.5,-3,1,3,blueberry_full_control
33,3,blueberry,119.0,-3,1,3,blueberry_full_control
34,1,raspberry,180.0,2,1,1,time
34,2,blueberry,134.5,-3,1,2,blueberry_full_control
34,3,blueberry,166.0,-3,1,2,blueberry_full_control
35,1,raspberry,180.0,2,2,1,time
35,2,blueberry,175.5,-3,2,1,blueberry_full_control
35,3,raspberry,180.0,3,3,1,time
36,1,blueberry,180.0,-3,2,1,time
36,2,raspberry,162.5,3,2,1,raspberry_full_control
36,3,blueberry,153.5,-3,2,1,blueberry_full_control
37,1,raspberry,180.0,3,1,1,time
37,2,raspberry,180.0,3,1,1,time
38,1,raspberry,180.0,1,1,2,time
38,2,raspberry,180.0,0,1,3,time
39,1,raspberry,179.0,3,2,1,raspberry_full_control
39,2,raspberry,176.5,3,2,1,raspberry_full_control
40,1,raspberry,180.0,3,1,1,time
40,2,raspberry,180.0,3,1,1,time
41,1,blueberry,175.5,-3,1,3,blueberry_full_control
41,2,blueberry,180.0,-3,1,3,time
42,1,blueberry,180.0,-3,1,1,time
42,2,blueberry,180.0,-3,1,1,time
43,1,raspberry,180.0,1,2,3,time
43,2,blueberry,157.5,-3,2,3,blueberry_full_control
43,3,blueberry,142.0,-3,2,3,blueberry_full_control
44,1,raspberry,180.0,2,2,1,time
44,2,raspberry,180.0,2,2,1,time
45,1,raspberry,180.0,0,3,1,time
45,2,raspberry,144.0,3,3,1,raspberry_full_control
46,1,raspberry,180.0,3,1,1,time
46,2,raspberry,180.0,3,2,1,time
47,1,blueberry,180.0,-1,1,2,time
47,2,blueberry,180.0,-2,2,3,time
48,1,raspberry,180.0,3,1,2,time
48,2,blueberry,180.0,-3,1,3,time
48,3,blueberry,134.0,-3,1,3,blueberry_full_control
49,1,raspberry,180.0,0,2,1,time
49,2,raspberry,180.0,3,2,1,time
50,1,blueberry,180.0,-3,1,1,time
50,2,raspberry,180.0,3,1,1,time
50,3,blueberry,134.0,-3,1,3,blueberry_full_control
51,1,raspberry,180.0,1,1,3,time
51,2,blueberry,129.5,-3,1,3,blueberry_full_control
51,3,blueberry,180.0,-3,1,3,time
52,1,raspberry,180.0,3,2,1,time
52,2,blueberry,180.0,-2,2,3,time
52,3,raspberry,174.5,3,3,3,raspberry_full_control
53,1,raspberry,180.0,2,1,1,time
53,2,raspberry,180.0,2,2,2,time
54,1,blueberry,168.5,-3,1,1,blueberry_full_control
54,2,blueberry,180.0,-3,1,3,time
55,1,raspberry,180.0,0,1,2,time
55,2,raspberry,180.0,1,2,2,time
56,1,blueberry,180.0,-3,1,2,time
56,2,raspberry,180.0,2,1,2,time
56,3,blueberry,130.0,-3,1,2,blueberry_full_control
57,1,blueberry,163.0,-3,1,1,blueberry_full_control
57,2,blueberry,155.5,-3,1,2,blueberry_full_control
58,1,blueberry,180.0,-3,1,2,time
58,2,blueberry,145.0,-3,1,2,blueberry_full_control
59,1,raspberry,180.0,2,1,1,time
59,2,raspberry,175.5,3,1,1,raspberry_full_control
60,1,blueberry,178.0,-3,1,1,blueberry_full_control
60,2,raspberry,180.0,3,2,1,time
60,3,blueberry,180.0,-1,2,1,time
61,1,blueberry,172.5,-3,1,1,blueberry_full_control
61,2,raspberry,180.0,3,1,1,time
61,3,raspberry,180.0,1,1,2,time
62,1,raspberry,180.0,3,3,1,time
62,2,raspberry,180.0,2,3,2,time
63,1,raspberry,180.0,2,1,1,time
63,2,raspberry,180.0,3,1,1,time
64,1,blueberry,180.0,-3,1,1,time
64,2,raspberry,180.0,3,2,1,time
64,3,raspberry,174.0,3,2,1,raspberry_full_control
65,1,raspberry,180.0,2,2,2,time
65,2,blueberry,153.0,-3,2,2,blueberry_full_control
65,3,blueberry,180.0,-2,2,3,time
66,1,raspberry,165.0,3,3,1,raspberry_full_control
66,2,raspberry,127.0,3,3,1,raspberry_full_control
67,1,raspberry,180.0,2,1,2,time
67,2,blueberry,102.0,-1,2,3,raspberry_full_control
67,3,blueberry,124.0,-3,2,3,blueberry_full_control
68,1,raspberry,180.0,3,3,1,time
68,2,raspberry,175.5,3,3,1,raspberry_full_control
69,1,raspberry,180.0,3,2,1,time
69,2,blueberry,180.0,-3,2,2,time
69,3,raspberry,180.0,2,2,2,time
70,1,raspberry,180.0,3,1,1,time
70,2,blueberry,180.0,-2,2,1,time
70,3,raspberry,180.0,1,2,2,time
71,1,raspberry,180.0,3,1,1,time
71,2,raspberry,180.0,2,2,2,time
72,1,raspberry,179.0,3,1,1,raspberry_full_control
72,2,raspberry,180.0,2,2,1,time
73,1,raspberry,180.0,3,1,1,time
73,2,raspberry,180.0,3,1,1,time
74,1,blueberry,180.0,-2,2,1,time
74,2,raspberry,180.0,3,2,1,time
74,3,blueberry,174.5,-3,2,2,blueberry_full_control
75,1,blueberry,180.0,-3,1,1,time
75,2,raspberry,166.5,3,2,1,raspberry_full_control
75,3,blueberry,180.0,-1,2,2,time
76,1,raspberry,180.0,1,1,2,time
76,2,raspberry,180.0,3,3,2,time
77,1,blueberry,180.0,-1,1,2,time
77,2,blueberry,169.5,-3,1,2,blueberry_full_control
78,1,raspberry,180.0,3,2,1,time
78,2,raspberry,180.0,2,2,2,time
79,1,blueberry,180.0,-3,1,2,time
79,2,blueberry,126.5,-3,1,3,blueberry_full_control
80,1,raspberry,180.0,3,1,1,time
80,2,blueberry,180.0,-3,2,2,time
80,3,blueberry,180.0,-2,2,2,time
