match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades,raspberry_strategy,blueberry_strategy
1,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
2,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
3,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
4,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
5,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
6,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
7,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
8,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
9,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
10,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
11,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
12,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
13,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
14,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
15,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
16,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
17,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
18,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
19,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
20,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
21,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
22,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
23,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
24,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
25,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
26,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
27,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
28,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
29,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
30,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
31,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
32,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
33,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
34,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
35,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
36,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
37,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
38,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
39,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
40,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
41,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
42,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
43,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
44,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
45,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
46,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
47,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
48,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
49,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
50,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
51,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
52,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
53,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
54,raspberry,2,0,2,0,0,mixed_composition,swarm_focus
55,blueberry,0,2,2,0,0,mixed_composition,swarm_focus
56,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
57,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
58,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
59,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
60,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
61,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
62,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
63,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
64,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
65,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
66,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
67,raspberry,2,1,3,0,0,mixed_composition,ranged_focus
68,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
69,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
70,raspberry,2,0,2,0,0,mixed_composition,mixed_composition
71,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
72,blueberry,1,2,3,0,0,mixed_composition,swarm_focus
73,raspberry,2,1,3,0,0,mixed_composition,mixed_composition
74,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
75,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
76,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
77,raspberry,2,0,2,0,0,mixed_composition,ranged_focus
78,blueberry,0,2,2,0,0,mixed_composition,mixed_composition
79,raspberry,2,1,3,0,0,mixed_composition,swarm_focus
80,blueberry,1,2,3,0,0,mixed_composition,mixed_composition
